2025-10-03 12:48:29.183 [REQ-4018fa64] - PERFORMANCE | GET /login | 290ms | null | Status: 200
2025-10-03 12:48:34.619 [REQ-fafcfc96] - PERFORMANCE | GET /login | 14ms | null | Status: 200
2025-10-03 12:48:35.895 [REQ-a5db1828] - PERFORMANCE | GET /login | 30ms | null | Status: 200
2025-10-03 12:48:45.280 [REQ-cba71fa9] - PERFORMANCE | GET /dashboard | 40ms | admin | Status: 200
2025-10-03 12:48:48.716 [REQ-558f24b6] - PERFORMANCE | GET /users | 45ms | admin | Status: 200
2025-10-03 12:48:53.062 [REQ-8fc9ba77] - PERFORMANCE | GET /roles | 22ms | admin | Status: 200
2025-10-03 12:50:36.512 [REQ-72b9664a] - PERFORMANCE | GET /dashboard | 55ms | admin | Status: 200
2025-10-03 12:53:49.788 [REQ-0ec4927f] - PERFORMANCE | GET /dashboard | 52ms | admin | Status: 200
2025-10-03 12:53:51.761 [REQ-caa35d2a] - PERFORMANCE | GET /users | 23ms | admin | Status: 200
2025-10-03 12:54:01.444 [REQ-003758a1] - PERFORMANCE | GET /dashboard | 51ms | admin | Status: 200
2025-10-03 12:54:02.520 [REQ-96389188] - PERFORMANCE | GET /logout | 18ms | admin | Status: 302
2025-10-03 12:54:02.549 [REQ-8f8393a2] - PERFORMANCE | GET /login | 25ms | admin | Status: 200
2025-10-03 12:54:14.564 [REQ-dd342605] - PERFORMANCE | GET /login | 284ms | null | Status: 200
2025-10-03 12:54:19.135 [REQ-818e8399] - PERFORMANCE | GET /login | 13ms | null | Status: 200
2025-10-03 12:54:20.229 [REQ-5f02ec90] - PERFORMANCE | GET /dashboard | 6ms | null | Status: 302
2025-10-03 12:54:20.244 [REQ-f22b6d72] - PERFORMANCE | GET /login | 10ms | null | Status: 200
2025-10-03 12:54:20.318 [REQ-fd4398fd] - PERFORMANCE | GET /login | 6ms | null | Status: 200
2025-10-03 12:54:24.957 [REQ-2dee1123] - PERFORMANCE | GET /dashboard | 39ms | admin | Status: 200
2025-10-03 12:54:28.976 [REQ-46ff2ea4] - PERFORMANCE | GET /users | 39ms | admin | Status: 200
2025-10-03 12:54:34.093 [REQ-ebea83d1] - PERFORMANCE | GET /roles | 23ms | admin | Status: 200
2025-10-03 12:54:52.516 [REQ-e9839d75] - PERFORMANCE | GET /dashboard | 29ms | admin | Status: 200
2025-10-03 12:54:54.292 [REQ-1b1ca350] - PERFORMANCE | GET /roles | 18ms | admin | Status: 200
2025-10-03 12:54:55.764 [REQ-0c56475d] - PERFORMANCE | GET /dashboard | 26ms | admin | Status: 200
2025-10-03 12:54:56.555 [REQ-89116d71] - PERFORMANCE | GET /users | 21ms | admin | Status: 200
2025-10-03 13:03:44.392 [REQ-9b99d4ab] - PERFORMANCE | GET /login | 318ms | null | Status: 200
